Company,Type,Location,Remote/Hybrid Chance,Contact Email,Careers / Apply Link,Notes for 2nd-year ML/DS Student,CV Match Score (1-10),Why it matches your CV,Source
Skrypt AI Labs,Company,"Toronto, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/software-engineer-intern-at-skrypt-ai-labs-4406687582,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Cohere,Startup,Canada,Unknown,,https://ca.linkedin.com/jobs/view/machine-learning-intern-co-op-spring-summer-2026-at-cohere-4404401022,Good ML fit; emphasize machine learning background. Canada role — check visa/permit requirements for internships.,2,Overlaps with your machine learning experience.,LinkedIn
Zip,Company,"Toronto, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/software-engineer-intern-fall-2026-at-zip-4391767454,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Waabi,Company,"Toronto, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/research-internship-co-op-at-waabi-4344904704,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
CWP Energy,Company,"Montreal, Quebec, Canada",Unknown,,https://ca.linkedin.com/jobs/view/data-science-intern-stagiaire-en-science-des-donn%C3%A9es-at-cwp-energy-4383355630,Good ML fit; emphasize data science background. Canada role — check visa/permit requirements for internships.,2,Overlaps with your data science experience.,LinkedIn
BNP Paribas,Company,"Montreal, Quebec, Canada",Unknown,,https://ca.linkedin.com/jobs/view/data-analyst-intern-at-bnp-paribas-4348934280,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Google,Company,"Toronto, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/student-researcher-bs-ms-winter-summer-2026-at-google-4365882378,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Cohere,Startup,Canada,Unknown,,https://ca.linkedin.com/jobs/view/software-engineer-intern-spring-summer-2026-at-cohere-4404285795,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Amdocs,Company,"Brampton, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/software-engineer-intern-rogers-genai-log-mining-at-amdocs-4401824557,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Stripe,Company,"Toronto, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/phd-data-scientist-intern-at-stripe-4402658628,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
d-Matrix,Company,"Toronto, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/software-engineering-intern-kernels-at-d-matrix-4377543632,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Stripe,Company,"Toronto, Ontario, Canada",Unknown,,https://ca.linkedin.com/jobs/view/data-analyst-intern-master-s-degree-at-stripe-4402609290,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
BNP Paribas,Company,"Montreal, Quebec, Canada",Unknown,,https://ca.linkedin.com/jobs/view/modelling-ai-machine-learning-intern-at-bnp-paribas-4348427870,Good ML fit; emphasize machine learning background. Canada role — check visa/permit requirements for internships.,2,Overlaps with your machine learning experience.,LinkedIn
CWP Energy,Company,"Montreal, Quebec, Canada",Unknown,,https://ca.linkedin.com/jobs/view/software-developer-intern-stagiaire-d%C3%A9veloppeur-logiciel-at-cwp-energy-4383349852,Solid engineering role; highlight Python and ML exposure. Canada role — check visa/permit requirements for internships.,2,General software engineering overlap with your skills.,LinkedIn
Bell Integration,Company,"London Area, United Kingdom",Unknown,,https://uk.linkedin.com/jobs/view/summer-intern-ai-data-at-bell-integration-4405097483,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
Garda Capital Partners,Company,"Geneva, Geneva, Switzerland",Unknown,,https://ch.linkedin.com/jobs/view/ai-intern-at-garda-capital-partners-4394681641,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
Homeprotect Home Insurance,Company,"New Malden, England, United Kingdom",Unknown,,https://uk.linkedin.com/jobs/view/summer-intern-ai-development-at-homeprotect-home-insurance-4405650279,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
AILY LABS,Company,"Madrid, Community of Madrid, Spain",Hybrid (Medium),,https://es.linkedin.com/jobs/view/intern-data-practitioner-%E2%80%93-barcelona-madrid-hybrid-at-aily-labs-4395855885,Solid engineering role; highlight Python and ML exposure.,2,Remote/hybrid accessible from Tunisia.,LinkedIn
AILY LABS,Company,"Madrid, Community of Madrid, Spain",Hybrid (Medium),,https://es.linkedin.com/jobs/view/intern-data-scientist-barcelona-madrid-hybrid-at-aily-labs-4402455460,Solid engineering role; highlight Python and ML exposure.,2,Remote/hybrid accessible from Tunisia.,LinkedIn
Vega,Company,"London, England, United Kingdom",Unknown,,https://uk.linkedin.com/jobs/view/product-operations-intern-at-vega-4398545089,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
EY,Company,"Zurich, Zurich, Switzerland",Unknown,,https://ch.linkedin.com/jobs/view/intern-technology-consulting-ai-data-at-ey-4393078013,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
DoubleVerify,Company,"Ghent, Flemish Region, Belgium",Unknown,,https://be.linkedin.com/jobs/view/software-engineering-intern-at-doubleverify-4385349345,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
Teal AI,Company,"Valencia, Valencian Community, Spain",Unknown,,https://es.linkedin.com/jobs/view/intern-gtm-advanced-english-at-teal-ai-4407432891,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
Schneider Electric,Company,"Warsaw, Mazowieckie, Poland",Unknown,,https://pl.linkedin.com/jobs/view/internship-in-global-ai-sales-enablement-analytics-at-schneider-electric-4400403670,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,LinkedIn
Early-Stage AI Startup in Stealth,Startup,"Munich, Bavaria, Germany",Unknown,,https://de.linkedin.com/jobs/view/founder%E2%80%99s-associate-intern-gtm-at-early-stage-ai-startup-in-stealth-4371917629,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,LinkedIn
Unknown,Company,HerzogenrathÂ+ 0 more,Unknown,,https://www.xing.com/jobs/herzogenrath-praktikanten-machine-learning-150195251,Good ML fit; emphasize machine learning background.,2,Overlaps with your machine learning experience.,XING
Unknown,Company,WarburgÂ+ 0 more,Unknown,,https://www.xing.com/jobs/warburg-praktikum-artificial-intelligence-151052923,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,HeilbronnÂ+ 0 more,Unknown,,https://www.xing.com/jobs/heilbronn-praktikum-computer-vision-ai-146732245,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,AugsburgÂ+ 0 more,Unknown,,https://www.xing.com/jobs/augsburg-praktikum-softwareentwicklung-ki-systeme-153003602,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,ZÃ¼richÂ+ 0 more,Unknown,,https://www.xing.com/jobs/zuerich-internship-master-thesis-semester-project-152054757,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,WolfsburgÂ+ 0 more,Unknown,,https://www.xing.com/jobs/wolfsburg-praktikum-machine-learning-fahrsteuerung-151921015,Good ML fit; emphasize machine learning background.,2,Overlaps with your machine learning experience.,XING
Unknown,Company,WolfsburgÂ+ 0 more,Unknown,,https://www.xing.com/jobs/wolfsburg-praktikum-digitale-produktion-logistik-innovative-technologien-152334335,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,HannoverÂ+ 0 more,Unknown,,https://www.xing.com/jobs/hanover-data-engineer-intern-mandatory-pflichtpraktikum-146696648,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,DresdenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/dresden-praktikum-bereich-factory-system-dresden-153106308,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,MÃ¼nchenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/munich-unpaid-internship-opportunities-multiple-roles-148577282,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,HarsewinkelÂ+ 0 more,Unknown,,https://www.xing.com/jobs/harsewinkel-praktikum-abschlussarbeit-sensor-systems-computer-vision-ai-151919966,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,AachenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/aachen-praktikum-bereich-computer-vision-all-genders-148331871,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,DarmstadtÂ+ 0 more,Unknown,,https://www.xing.com/jobs/darmstadt-masterand-bachelorand-praktikant-artificial-intelligence-engineering-152644749,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,KielÂ+ 0 more,Unknown,,https://www.xing.com/jobs/kiel-pflichtpraktikum-bereich-ki-automation-151601530,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,IngolstadtÂ+ 0 more,Unknown,,https://www.xing.com/jobs/ingolstadt-praktikum-ai-coordinator-plant-ingolstadt-ref8056x-152854495,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,HamburgÂ+ 0 more,Unknown,,https://www.xing.com/jobs/hamburg-praktikum-werkstudium-kuenstliche-intelligenz-ai-interne-prozesse-consulting-gn-146824490,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,XING
Unknown,Company,Esslingen am NeckarÂ+ 0 more,Unknown,,https://www.xing.com/jobs/esslingen-neckar-praktikum-ai-digitalization-153501931,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,GlashÃ¼tteÂ+ 0 more,Unknown,,https://www.xing.com/jobs/glashuette-praktikum-ai-data-transformation-152722256,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Startup,WissenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/wissen-bezahltes-praktikum-praxissemester-informatik-ki-software-entwicklung-146719747,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,WolfsburgÂ+ 0 more,Unknown,,https://www.xing.com/jobs/wolfsburg-praktikum-data-ai-innovationsvorhaben-152587599,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,HÃ¼rthÂ+ 0 more,Unknown,,https://www.xing.com/jobs/huerth-praktikant-data-science-153252455,Good ML fit; emphasize data science background.,2,Overlaps with your data science experience.,XING
Unknown,Company,CrailsheimÂ+ 0 more,Unknown,,https://www.xing.com/jobs/crailsheim-praktikum-bereich-data-science-process-improvement-152006790,Good ML fit; emphasize data science background.,2,Overlaps with your data science experience.,XING
Unknown,Company,BaselÂ+ 0 more,Unknown,,https://www.xing.com/jobs/basel-praktikum-innovation-nachhaltigkeit-studierende-bereichen-informatik-wirtschaftsinformatik-data-science-statistik-mathematik-business-analytics-153698146,Good ML fit; emphasize data science background.,2,Overlaps with your data science experience.,XING
Unknown,Company,MÃ¼nchenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/muenchen-praktikum-datenanalyse-visualisierung-151386116,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,EysinsÂ+ 0 more,Unknown,,https://www.xing.com/jobs/eysins-internship-advanced-analytics-153214801,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,BerlinÂ+ 0 more,Unknown,,https://www.xing.com/jobs/berlin-praktikum-associate-intern-tech-ai-153193220,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,XING
Unknown,Company,MÃ¼nchenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/muenchen-ai-transformation-internship-153318583,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,MÃ¼nchenÂ+ 0 more,Unknown,,https://www.xing.com/jobs/munich-ai-engineering-intern-149569728,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Unknown,Company,BerlinÂ+ 0 more,Unknown,,https://www.xing.com/jobs/berlin-praktikum-fellow-intern-tech-ai-153363393,Solid engineering role; highlight Python and ML exposure. In Germany — English applications OK at most tech companies.,2,General software engineering overlap with your skills.,XING
Unknown,Company,Frankfurt am MainÂ+ 0 more,Unknown,,https://www.xing.com/jobs/frankfurt-main-intern-ai-solutions-project-management-business-development-146647765,Solid engineering role; highlight Python and ML exposure.,2,General software engineering overlap with your skills.,XING
Hewlett Packard Enterprise,Company,,Onsite (Low),,,Strong rag signal — lead with your LLM/Agentic project work.,2,Directly matches your rag focus.,Built In
Murex,Company,,Remote possible (Medium),,,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,Built In
Block Labs,Company,,Remote possible (Medium),,,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,2,Remote/hybrid accessible from Tunisia.,Built In
