Company,Type,Location,Remote/Hybrid Chance,Contact Email,Careers / Apply Link,Notes for 2nd-year ML/DS Student,CV Match Score (1-10),Why it matches your CV,Source
ALX Africa,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-customer-support-agent-alx-africa-1130805,Good ML fit; emphasize agent background. Remote available — mention international availability.,4,"Overlaps with your agent, data science experience; remote/hybrid accessible from Tunisia.",Remote OK
Remotasks,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-ai-training-for-igbo-writers-remotasks-1130723,Strong llm signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,4,Directly matches your llm focus; remote/hybrid accessible from Tunisia.,Remote OK
Cloud Accountant Staffing,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-us-client-accounting-advisor-cloud-accountant-staffing-1130414,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,4,Remote/hybrid accessible from Tunisia.,Remote OK
8am,Company,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/8am-product-designer-growth,Strong rag signal — lead with your LLM/Agentic project work. Remote available — mention international availability.,3,Directly matches your rag focus; remote/hybrid accessible from Tunisia.,We Work Remotely
The Corvus Group Inc,Company,Anywhere in the World,Fully Remote (High),,https://weworkremotely.com/remote-jobs/the-corvus-group-inc-react-frontend-developer,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,We Work Remotely
360Learning,Company,"Paris, Remote",Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-trainer-emea-360learning-1131306,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,Remote OK
Fox GLobal Assets,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-crypto-trader-fox-global-assets-1131243,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,Remote OK
Criptoro,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-data-analyst-criptoro-1131219,Good ML fit; emphasize python background. Remote available — mention international availability.,3,Overlaps with your python experience; remote/hybrid accessible from Tunisia.,Remote OK
Wrike,Company,US,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-customer-success-engineer-wrike-1131211,Strong rag signal — lead with your LLM/Agentic project work.,3,Directly matches your rag focus.,Remote OK
EXPANSIA,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-e01-hr-compliance-specialist-iv-expansia-1131045,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,Remote OK
Huzzle,Startup,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-sales-development-representative-huzzle-1130984,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,Remote OK
Destination Knot,Company,"Dallas, Texas",Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-customer-service-booking-hotels-we-will-train-you-destination-knot-1130822,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,Remote OK
Kastle,Startup,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-ai-trainer-kastle-1130776,Good ML fit; emphasize agent background. Remote available — mention international availability.,3,Overlaps with your agent experience; remote/hybrid accessible from Tunisia.,Remote OK
Hunt St,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-training-assessment-assessor-hunt-st-1130685,Solid engineering role; highlight Python and ML exposure. Remote available — mention international availability.,3,Remote/hybrid accessible from Tunisia.,Remote OK
Accenture Federal Services,Company,"Reston, VA",Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-cloud-architect-accenture-federal-services-1130620,Strong rag signal — lead with your LLM/Agentic project work.,3,Directly matches your rag focus; overlaps with your docker experience.,Remote OK
Magic Media,Company,Remote,Fully Remote (High),,https://remoteOK.com/remote-jobs/remote-c-developer-magic-media-1130444,Good ML fit; emphasize python background. Remote available — mention international availability.,3,Overlaps with your python experience; remote/hybrid accessible from Tunisia.,Remote OK
